,year_ms,month_ms,generacion,tot_hr,fp
0,2014,12,2342.0,384,0.16941550925925927
1,2015,1,5958.5,744,0.2224649044205496
2,2015,2,6388.9,672,0.2640914351851852
3,2015,3,4998.7,744,0.18663007765830344
4,2015,4,5434.900000000001,720,0.20967978395061732
5,2015,5,4885.200000000001,744,0.1823924731182796
6,2015,6,4803.7,720,0.1853279320987654
7,2015,7,5076.200000000001,744,0.18952359617682202
8,2015,8,4949.200000000001,744,0.1847819593787336
9,2015,9,6308.9,720,0.24339891975308642
10,2015,10,5766.200000000001,744,0.21528524492234172
11,2015,11,6052.700000000001,720,0.2335146604938272
12,2015,12,5725.4,744,0.21376194743130225
13,2016,1,5799.0,744,0.21650985663082437
14,2016,2,4679.7,696,0.18676963601532567
15,2016,3,4785.1,744,0.17865516726403824
16,2016,4,4725.0,720,0.18229166666666666
17,2016,5,3817.0713626650004,744,0.1425131183790696
18,2016,6,3175.0946296131096,720,0.12249593478445639
19,2016,7,4374.733206484,744,0.1633338264069594
20,2016,8,5251.09,744,0.19605324074074074
21,2016,9,6623.349999999999,720,0.2555304783950617
22,2016,10,8319.52,744,0.31061529271206695
23,2016,11,8047.03,720,0.31045640432098764
24,2016,12,8223.619999999999,744,0.3070347968936678
25,2017,1,8342.64,744,0.3114784946236559
26,2017,2,7577.709999999999,672,0.3132320601851851
27,2017,3,7407.55,744,0.27656623357228194
28,2017,4,6215.59,720,0.23979899691358025
29,2017,5,4227.360000000001,744,0.15783154121863802
30,2017,6,4042.25,720,0.15595100308641976
31,2017,7,5397.95,744,0.20153636499402627
32,2017,8,5961.389999999999,744,0.2225728046594982
33,2017,9,6281.0,720,0.24232253086419753
34,2017,10,7795.129999999999,744,0.29103681302270007
35,2017,11,8610.66,720,0.3322013888888889
36,2017,12,10218.22,744,0.3815046296296296
37,2018,1,9597.66,744,0.35833557347670253
38,2018,2,8312.52,672,0.3436061507936508
39,2018,3,8821.83,744,0.3293693996415771
40,2018,4,6818.630000000001,720,0.2630644290123457
41,2018,5,6056.76,744,0.22613351254480288
42,2018,6,5120.09,720,0.1975343364197531
43,2018,7,5326.73,744,0.1988773148148148
44,2018,8,5136.389999999999,744,0.1917708333333333
45,2018,9,7991.4400000000005,720,0.30831172839506177
46,2018,10,9209.779999999999,744,0.34385379330943844
47,2018,11,9898.24,720,0.3818765432098765
48,2018,12,10161.18,744,0.379375
49,2019,1,9108.07,744,0.34005637694145757
50,2019,2,7733.01,672,0.3196515376984127
51,2019,3,1123.07,96,0.3249623842592592
