,0
0,346.0
1,239.0
2,309.0
3,247.0
4,248.0
5,308.0
6,278.0
7,269.0
8,306.0
9,307.0
10,288.0
11,305.0
12,285.0
13,319.0
14,314.0
15,284.0
16,344.0
17,331.0
18,317.0
19,333.0
20,339.0
21,357.0
22,337.0
23,470.0
24,400.0
25,403.0
26,394.0
27,475.0
28,402.0
29,474.0
30,385.0
31,401.0
32,399.0
33,353.0
34,354.0
35,374.0
36,332.0
37,348.0
38,372.0
39,367.0
40,355.0
41,349.0
42,356.0
43,384.0
44,407.0
45,359.0
46,412.0
47,415.0
48,427.0
49,418.0
50,430.0
51,428.0
52,435.0
53,429.0
54,455.0
55,362.0
56,437.0
57,456.0
58,0.0
59,425.0
60,489.0
61,491.0
62,498.0
63,496.0
64,495.0
65,426.0
66,483.0
67,459.0
68,364.0
69,530.0
70,539.0
71,545.0
72,543.0
73,534.0
74,537.0
75,529.0
76,439.0
77,442.0
78,522.0
79,511.0
80,527.0
81,515.0
82,524.0
83,513.0
84,514.0
85,518.0
86,541.0
87,554.0
88,490.0
89,508.0
90,506.0
91,480.0
92,519.0
93,320.0
94,501.0
95,564.0
96,550.0
97,562.0
98,500.0
99,559.0
100,558.0
101,546.0
102,582.0
103,576.0
104,572.0
105,560.0
106,555.0
107,556.0
108,577.0
109,528.0
110,457.0
111,589.0
112,584.0
113,571.0
114,462.0
115,579.0
116,592.0
117,580.0
118,578.0
