ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
2;MAULE;ELEKTRAGEN;ELEKTRA GENERACION;Constitución;Termoeléctricas;CE06G035;PMG;Operativa;no aplica;no aplica;6;S/E CONSTITUCION 23KV;6;0;6;0,375;06/06/2007;TÉRMICA;CGE DISTRIBUCIÓN;EQUIVALENTE EQUIPOS;;;PMG;TERMICA;MAULE;TALCA;CONSTITUCIÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;735611,9866;6083902,072;18;no aplica;;;;;;;;;;;
3;CHILOÉ;ELEKTRAGEN;ELEKTRA GENERACION;Quellón;Termoeléctricas;CE05G035;PMG;Operativa;no aplica;no aplica;9;S/E QUELLON 23KV;9;0;9;0,6;07/08/2008;TÉRMICA;SAESA;EQUIVALENTE EQUIPOS;;;PMG;DIESEL;DE LOS LAGOS;CHILOÉ;QUELLÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;612679,9727;5228107,067;18G;;;;;;;;;;;;
4;CONSTITUCIÓN 1;ELEKTRAGEN;ELEKTRA GENERACION;Constitución;Termoeléctricas;CE01G035;PMG;Operativa;no aplica;no aplica;6;S/E CONSTITUCION 23KV;9;0;9;0;06/06/2007;TÉRMICA;CGE DISTRIBUCIÓN;EQUIVALENTE EQUIPOS;;;PMG;DIESEL;MAULE;;;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;735611,9866;6083902,072;18H;;;;;;;;;;;;
5;MARIPOSAS;HIDROLIRCAY;HIDROLIRCAY;San Clemente;Hidroeléctricas;CE01G071;PMG;Operativa;no aplica;no aplica;1;S/E MARIPOSAS 66kV;6,3;0,23;6,28551;;26-03-2011;ERNC;no aplica;;;;PMG;Mini Hidráulica de Pasada;MAULE;TALCA;SAN CLEMENTE;1;SAN CLEMENTE;SAN CLEMENTE;no aplica;no aplica;no aplica;no aplica;294922,8131;6058518,95;19;;;;;;;;;;;;
6;EL RINCÓN;PUNTILLA;PUNTILLA;La Florida;Hidroeléctricas;CE05G019;PMG;Operativa;no aplica;no aplica;1;S/E FLORIDA 12KV;0,289;1,5;0,284665;0,25;13-04-2007;ERNC;no aplica;;;;PMG;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;;;1;LA FLORIDA;no aplica;no aplica;no aplica;no aplica;no aplica;356750,0038;6286889,046;19H;;;;;;;;;;;;
7;EYZAGUIRRE;PUNTILLA;PUNTILLA;Puente Alto;Hidroeléctricas;CE04G019;PMGD;Operativa;no aplica;no aplica;1;S/E FLORIDA 12KV;1,9;1,5;1,8715;;01-01-2003;ERNC;CGE;;;;PMGD;Mini Hidráulica de Pasada;METROPOLITANA DE SANTIAGO;CORDILLERA;PUENTE ALTO;1;PUENTE ALTO;no aplica;no aplica;no aplica;no aplica;no aplica;359850,9833;6280295,027;19H;;;;;;;;;;;;
8;CONCÓN;TECNORED;TECNORED;Concón;Termoeléctricas;CE01G031;PMG;Operativa;no aplica;no aplica;3;S/E CONCON 12kV;2,3;0;2,3;0;24-04-2007;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;VALPARAÍSO;CONCÓN;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;268663,9816;6353411,002;19H;;;;;;;;;;;;
9;EL TOTORAL;TECNORED;TECNORED;El Quisco;Termoeléctricas;CE07G031;PMG;Operativa;no aplica;no aplica;3;S/E EL TOTORAL 12kV;3;0;3;0;07/04/2008;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;SAN ANTONIO;EL QUISCO;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;254850,5467;6298164,854;19H;;;;;;;;;;;;
10;LAS VEGAS;TECNORED;TECNORED;Llaillay;Termoeléctricas;CE02G031;PMG;Operativa;no aplica;no aplica;2;S/E LAS VEGAS 110kv;2,1;0,05;2,09895;0;20-04-2007 0:00:00;TÉRMICA;no aplica;;;;PMG;DIESEL;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;LLAILLAY;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;311789,1511;6364331,291;19H;;;;;;;;;;;;
11;LINARES NORTE;TECNORED;TECNORED;Linares;Termoeléctricas;CE09G031;PMG;Operativa;no aplica;no aplica;1;S/E LINARES NORTE 13.2kV;0,5;0;0,5;0;20/03/2009 12:00:00 a.m.;TÉRMICA;no aplica;;;;PMG;DIESEL;MAULE;LINARES;LINARES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;261185,8383;6032009,453;19H;;;;;;;;;;;;
