NOM_REG,NOM_PROV,COD_COM,NOM_COM,COD_REGI,SUPERFICIE,POBLAC02,POBL2010,SHAPE_Leng,SHAPE_Area
Región del Libertador Bernardo O'Higgins,Cachapoal,06109,Malloa,6.00000000000,16387.00000000000,780627,883368,803163.59645299998,16345213476.60000038147
Región de Atacama,Copiapó,03102,Caldera,3.00000000000,75176.20000000000,254336,280543,2006821.92164999992,75652031289.89999389648
Región Metropolitana de Santiago,Cordillera,13201,Puente Alto,13.00000000000,15403.20000000000,6061185,6883563,885340.57501799997,15389287748.60000038147
Región de La Araucanía,Cautín,09102,Carahue,9.00000000000,31842.30000000000,869535,970419,1145916.88941000006,31833971331.50000000000
Región del Maule,Cauquenes,07203,Pelluhue,7.00000000000,30296.10000000000,908097,1007831,1096106.76603999990,30324230848.59999847412
Región de Valparaíso,Los Andes,05304,San Esteban,5.00000000000,16396.10000000000,1539852,1759167,1045288.27483999997,16007244207.00000000000
Región de Tarapacá,Iquique,01101,Iquique,1.00000000000,59099.10000000000,428594,683203,1118269.85920000006,42548579682.69999694824
Región de Los Ríos,Ranco,10504,La Unión,14.00000000000,18429.50000000000,356396,379709,1377742.36155000003,18249150548.40000152588
Región del Bío-Bío,Arauco,08203,Cañete,8.00000000000,37062.60000000000,1861562,2036443,1774792.64228000003,37125798500.90000152588
Región de Antofagasta,Tocopilla,02301,Tocopilla,2.00000000000,126049.10000000001,493984,575268,2139314.89642000012,126020013754.00000000000
Región de Arica y Parinacota,Parinacota,01301,Putre,15.00000000000,14628.90000000000,188465,183712,682884.59564499999,16619989477.50000000000
Región de Coquimbo,Limarí,04305,Río Hurtado,4.00000000000,40579.90000000000,603210,718717,1605926.62647000002,40633678072.50000000000
Región de Ñuble,Chillán,2312,Chillan,16.00000000000,123.00000000000,123,123,123.00000000000,123.00000000000
